iter	Passed	Remaining
872	5210	757
873	5216	751
874	5220	745
875	5226	739
876	5231	733
877	5238	727
878	5243	721
879	5249	715
880	5254	709
881	5259	703
882	5264	697
883	5270	691
884	5276	685
885	5282	679
886	5288	673
887	5294	667
888	5300	661
889	5307	655
890	5312	649
891	5318	643
892	5324	637
893	5330	632
894	5334	625
895	5342	620
896	5349	614
897	5354	608
898	5360	602
899	5366	596
900	5372	590
901	5378	584
902	5383	578
903	5389	572
904	5394	566
905	5400	560
906	5405	554
907	5412	548
908	5417	542
909	5421	536
910	5427	530
911	5432	524
912	5438	518
913	5444	512
914	5449	506
915	5455	500
916	5460	494
917	5466	488
918	5473	482
919	5479	476
920	5487	470
921	5492	464
922	5498	458
923	5504	452
924	5510	446
925	5518	440
926	5525	435
927	5531	429
928	5537	423
929	5543	417
930	5549	411
931	5556	405
932	5561	399
933	5567	393
934	5572	387
935	5578	381
936	5583	375
937	5589	369
938	5594	363
939	5600	357
940	5605	351
941	5611	345
942	5617	339
943	5623	333
944	5629	327
945	5636	321
946	5642	315
947	5648	309
948	5654	303
949	5660	297
950	5665	291
951	5671	285
952	5677	279
953	5682	274
954	5688	268
955	5693	262
956	5699	256
957	5705	250
958	5710	244
959	5716	238
960	5721	232
961	5728	226
962	5734	220
963	5740	214
964	5746	208
965	5753	202
966	5758	196
967	5766	190
968	5772	184
969	5779	178
970	5785	172
971	5792	166
972	5798	160
973	5803	154
974	5809	148
975	5815	143
976	5821	137
977	5827	131
978	5833	125
979	5838	119
980	5845	113
981	5851	107
982	5857	101
983	5863	95
984	5868	89
985	5874	83
986	5880	77
987	5886	71
988	5891	65
989	5897	59
990	5902	53
991	5910	47
992	5916	41
993	5921	35
994	5927	29
995	5933	23
996	5940	17
997	5946	11
998	5953	5
999	5959	0
